Frequency(Hz)	S21_complex
4.612241224122e+09	-3.354435913335e-01-8.793111768824e-01j
4.612361236124e+09	-3.553041490772e-01-8.714745036244e-01j
4.612481248125e+09	-3.749601884618e-01-8.631937950731e-01j
4.612601260126e+09	-3.944422663724e-01-8.544571030822e-01j
4.612721272127e+09	-4.137304709432e-01-8.452746602360e-01j
4.612841284128e+09	-4.327960289034e-01-8.356691933267e-01j
4.612961296130e+09	-4.516497094797e-01-8.256274369332e-01j
4.613081308131e+09	-4.702705709132e-01-8.151424913770e-01j
4.613201320132e+09	-4.886563119371e-01-8.042473158419e-01j
4.613321332133e+09	-5.067982479354e-01-7.929210331865e-01j
4.613441344134e+09	-5.246719068078e-01-7.811939540974e-01j
4.613561356136e+09	-5.422897995708e-01-7.690564658810e-01j
4.613681368137e+09	-5.596122897814e-01-7.565124980720e-01j
4.613801380138e+09	-5.766598747430e-01-7.435791919942e-01j
4.613921392139e+09	-5.934007518938e-01-7.302569022372e-01j
4.614041404140e+09	-6.098437816963e-01-7.165501139872e-01j
4.614161416142e+09	-6.259784281063e-01-7.024774508311e-01j
4.614281428143e+09	-6.418002891158e-01-6.880318475762e-01j
4.614401440144e+09	-6.572663502369e-01-6.732200378361e-01j
4.614521452145e+09	-6.724142770686e-01-6.580562427094e-01j
4.614641464146e+09	-6.871987462823e-01-6.425537062366e-01j
4.614761476148e+09	-7.016376731207e-01-6.267171806719e-01j
4.614881488149e+09	-7.157188375874e-01-6.105368464630e-01j
4.615001500150e+09	-7.294243111161e-01-5.940417878412e-01j
4.615121512151e+09	-7.427395734226e-01-5.772435449874e-01j
4.615241524152e+09	-7.556743245014e-01-5.601323088689e-01j
4.615361536154e+09	-7.682348724570e-01-5.427316776408e-01j
4.615481548155e+09	-7.803832817960e-01-5.250451268318e-01j
4.615601560156e+09	-7.921325950381e-01-5.070778651267e-01j
4.615721572157e+09	-8.034639277066e-01-4.888464140491e-01j
4.615841584158e+09	-8.143857538377e-01-4.703538315038e-01j
4.615961596160e+09	-8.248669724037e-01-4.516061888639e-01j
4.616081608161e+09	-8.349267286031e-01-4.326334684340e-01j
4.616201620162e+09	-8.445540512639e-01-4.134174132640e-01j
4.616321632163e+09	-8.537357202584e-01-3.939911731284e-01j
4.616441644164e+09	-8.624759253806e-01-3.743548582489e-01j
4.616561656166e+09	-8.707540295450e-01-3.545191366832e-01j
4.616681668167e+09	-8.785927061420e-01-3.344970307455e-01j
4.616801680168e+09	-8.859623301449e-01-3.142895583320e-01j
4.616921692169e+09	-8.928659706916e-01-2.939284678616e-01j
4.617041704170e+09	-8.993091745089e-01-2.733991617598e-01j
4.617161716172e+09	-9.052755368884e-01-2.527312661458e-01j
4.617281728173e+09	-9.107794044532e-01-2.319144307627e-01j
4.617401740174e+09	-9.157851781298e-01-2.109890828876e-01j
4.617521752175e+09	-9.203066213299e-01-1.899384987614e-01j
4.617641764176e+09	-9.243632245150e-01-1.687880179985e-01j
4.617761776178e+09	-9.279222481978e-01-1.475505385792e-01j
4.617881788179e+09	-9.309992715628e-01-1.262444032170e-01j
4.618001800180e+09	-9.335748340106e-01-1.048449066675e-01j
4.618121812181e+09	-9.356796463515e-01-8.340625613610e-02j
4.618241824182e+09	-9.372776181597e-01-6.191123281518e-02j
4.618361836184e+09	-9.383730613927e-01-4.037759948894e-02j
4.618481848185e+09	-9.389799421385e-01-1.884055154429e-02j
4.618601860186e+09	-9.390938367096e-01+2.728559445144e-03j
4.618721872187e+09	-9.387089887890e-01+2.426990526200e-02j
4.618841884188e+09	-9.378325325877e-01+4.584404782376e-02j
4.618961896190e+09	-9.364459769082e-01+6.736492123334e-02j
4.619081908191e+09	-9.345776034212e-01+8.884424737300e-02j
4.619201920192e+09	-9.322065602484e-01+1.102984393947e-01j
4.619321932193e+09	-9.293488865166e-01+1.316861994241e-01j
4.619441944194e+09	-9.259802026443e-01+1.530036571148e-01j
4.619561956196e+09	-9.221463078291e-01+1.742468569615e-01j
4.619681968197e+09	-9.178067409627e-01+1.953990890022e-01j
4.619801980198e+09	-9.129895155271e-01+2.164428203464e-01j
4.619921992199e+09	-9.076790812650e-01+2.373847461732e-01j
