Frequency(Hz)	S21_complex
4.884668466847e+09	-8.295798118440e-01+2.583285277627e-01j
4.884788478848e+09	-8.228594006698e-01+2.780032286719e-01j
4.884908490849e+09	-8.156802529483e-01+2.974988332182e-01j
4.885028502850e+09	-8.080268789006e-01+3.168061887086e-01j
4.885148514851e+09	-7.999258222124e-01+3.359222801173e-01j
4.885268526853e+09	-7.913470253432e-01+3.548521257087e-01j
4.885388538854e+09	-7.823301456144e-01+3.735494014390e-01j
4.885508550855e+09	-7.728765985779e-01+3.920307403424e-01j
4.885628562856e+09	-7.629782383906e-01+4.102809598910e-01j
4.885748574857e+09	-7.526386929669e-01+4.282845250555e-01j
4.885868586859e+09	-7.418741922553e-01+4.460210786196e-01j
4.885988598860e+09	-7.307003735155e-01+4.634946789722e-01j
4.886108610861e+09	-7.191045836127e-01+4.806833572796e-01j
4.886228622862e+09	-7.070971378559e-01+4.976038964890e-01j
4.886348634863e+09	-6.946886996113e-01+5.142154934171e-01j
4.886468646865e+09	-6.818900326707e-01+5.305223220880e-01j
4.886588658866e+09	-6.687028394053e-01+5.465269387902e-01j
4.886708670867e+09	-6.551357159592e-01+5.621861969953e-01j
4.886828682868e+09	-6.412122821118e-01+5.775248922811e-01j
4.886948694869e+09	-6.269036762025e-01+5.925156101877e-01j
4.887068706871e+09	-6.122657174687e-01+6.071531623826e-01j
4.887188718872e+09	-5.972668298224e-01+6.214427328891e-01j
4.887308730873e+09	-5.819265117615e-01+6.353517181890e-01j
4.887428742874e+09	-5.662720437905e-01+6.488795162654e-01j
4.887548754875e+09	-5.503070986800e-01+6.620365735878e-01j
4.887668766877e+09	-5.340130527869e-01+6.747948852616e-01j
4.887788778878e+09	-5.174319827526e-01+6.871677740545e-01j
4.887908790879e+09	-5.005469092276e-01+6.991175015388e-01j
4.888028802880e+09	-4.833878919929e-01+7.106688561736e-01j
4.888148814881e+09	-4.659642059218e-01+7.217936522278e-01j
4.888268826883e+09	-4.482766830356e-01+7.324852395686e-01j
4.888388838884e+09	-4.303426915017e-01+7.427525614968e-01j
4.888508850885e+09	-4.121671569576e-01+7.525795368647e-01j
4.888628862886e+09	-3.937728166874e-01+7.619739737223e-01j
4.888748874887e+09	-3.751500672275e-01+7.709058660472e-01j
4.888868886889e+09	-3.563344732474e-01+7.793866237850e-01j
4.888988898890e+09	-3.373051092491e-01+7.873903456887e-01j
4.889108910891e+09	-3.181050709413e-01+7.949624933289e-01j
4.889228922892e+09	-2.987291787052e-01+8.020598736132e-01j
4.889348934893e+09	-2.791823850202e-01+8.086760985159e-01j
4.889468946895e+09	-2.595117015798e-01+8.148158297484e-01j
4.889588958896e+09	-2.396815373534e-01+8.204956242645e-01j
4.889708970897e+09	-2.197243337984e-01+8.256695053080e-01j
4.889828982898e+09	-1.996701936442e-01+8.303704086894e-01j
4.889948994899e+09	-1.794909044387e-01+8.345871286131e-01j
4.890069006901e+09	-1.592441329674e-01+8.383006685065e-01j
4.890189018902e+09	-1.389064437677e-01+8.415438944055e-01j
4.890309030903e+09	-1.184969468109e-01+8.442651031852e-01j
4.890429042904e+09	-9.804219813223e-02+8.465154895417e-01j
4.890549054905e+09	-7.753033318224e-02+8.482527860208e-01j
4.890669066907e+09	-5.700199462980e-02+8.494977489145e-01j
4.890789078908e+09	-3.643882760552e-02+8.502486957225e-01j
4.890909090909e+09	-1.589056561179e-02+8.504954976740e-01j
4.891029102910e+09	4.673149205722e-03+8.502509470791e-01j
4.891149114911e+09	2.520659762827e-02+8.495028293707e-01j
4.891269126913e+09	4.572103847551e-02+8.482592458144e-01j
4.891389138914e+09	6.618673220509e-02+8.465237898943e-01j
4.891509150915e+09	8.658344026273e-02+8.442832112267e-01j
4.891629162916e+09	1.069386230801e-01+8.415621048310e-01j
4.891749174917e+09	1.271980863079e-01+8.383468955551e-01j
4.891869186919e+09	1.473885309711e-01+8.346316064088e-01j
4.891989198920e+09	1.674578780501e-01+8.304392061440e-01j
4.892109210921e+09	1.874286448462e-01+8.257521153693e-01j
4.892229222922e+09	2.072718634381e-01+8.205938171995e-01j
4.892349234923e+09	2.269673910330e-01+8.149470462895e-01j
4.892469246925e+09	2.465199535146e-01+8.088470224796e-01j
4.892589258926e+09	2.659164666393e-01+8.022568682724e-01j
4.892709270927e+09	2.851314529582e-01+7.951974564565e-01j
4.892829282928e+09	3.041783098125e-01+7.876807645718e-01j
4.892949294929e+09	3.230247511813e-01+7.797063451277e-01j
4.893069306931e+09	3.416684290862e-01+7.712728256994e-01j
4.893189318932e+09	3.600935815943e-01+7.623968518984e-01j
4.893309330933e+09	3.782954583342e-01+7.530753121748e-01j
4.893429342934e+09	3.962541638281e-01+7.433318468100e-01j
4.893549354935e+09	4.139610207767e-01+7.331340744915e-01j
4.893669366937e+09	4.314223546966e-01+7.225346678647e-01j
4.893789378938e+09	4.486096042864e-01+7.115043944493e-01j
4.893909390939e+09	4.655096241055e-01+7.000608369123e-01j
4.894029402940e+09	4.821318823018e-01+6.882223180931e-01j
4.894149414941e+09	4.984572831535e-01+6.759731767975e-01j
4.894269426943e+09	5.144669565537e-01+6.633417127542e-01j
4.894389438944e+09	5.301571387074e-01+6.503436192211e-01j
4.894509450945e+09	5.455352841513e-01+6.369494873233e-01j
4.894629462946e+09	5.605674397415e-01+6.231883758855e-01j
4.894749474947e+09	5.752480500801e-01+6.090856117441e-01j
4.894869486949e+09	5.895875250540e-01+5.946336730354e-01j
4.894989498950e+09	6.035690582530e-01+5.798257680281e-01j
4.895109510951e+09	6.171775756154e-01+5.647056790000e-01j
4.895229522952e+09	6.303907494106e-01+5.492429307364e-01j
4.895349534953e+09	6.432397619798e-01+5.334719490063e-01j
4.895469546955e+09	6.556980248398e-01+5.174031653327e-01j
4.895589558956e+09	6.677460003215e-01+5.010525207357e-01j
4.895709570957e+09	6.794006096969e-01+4.844025674920e-01j
4.895829582958e+09	6.906235500886e-01+4.674884458086e-01j
4.895949594959e+09	7.014424792633e-01+4.503059819929e-01j
4.896069606961e+09	7.118191329414e-01+4.328693900147e-01j
4.896189618962e+09	7.217727660219e-01+4.151949802757e-01j
4.896309630963e+09	7.313007281000e-01+3.972849999726e-01j
4.896429642964e+09	7.403630744049e-01+3.791712972404e-01j
4.896549654965e+09	7.489920878174e-01+3.608321395284e-01j
4.896669666967e+09	7.571698021634e-01+3.422814063685e-01j
4.896789678968e+09	7.648676711406e-01+3.235632584588e-01j
4.896909690969e+09	7.721194038839e-01+3.046722271584e-01j
4.897029702970e+09	7.789062966661e-01+2.855913417252e-01j
4.897149714971e+09	7.852220443944e-01+2.663834864398e-01j
4.897269726973e+09	7.910516801275e-01+2.470320367947e-01j
4.897389738974e+09	7.964195762506e-01+2.275340277955e-01j
4.897509750975e+09	8.013119768849e-01+2.079256665960e-01j
4.897629762976e+09	8.057149531104e-01+1.882226819427e-01j
4.897749774977e+09	8.096289255158e-01+1.684097416434e-01j
4.897869786979e+09	8.130536060286e-01+1.485257852973e-01j
4.897989798980e+09	8.159902285469e-01+1.285662991376e-01j
4.898109810981e+09	8.184310083478e-01+1.085653135611e-01j
4.898229822982e+09	8.204029247972e-01+8.848871463411e-02j
4.898349834983e+09	8.218481043727e-01+6.839207566919e-02j
4.898469846985e+09	8.228227427881e-01+4.827314844265e-02j
4.898589858986e+09	8.233070119571e-01+2.814396668805e-02j
4.898709870987e+09	8.232924699789e-01+8.025217408260e-03j
4.898829882988e+09	8.227963421013e-01-1.208769459530e-02j
4.898949894989e+09	8.217932035402e-01-3.217778543059e-02j
4.899069906991e+09	8.202989746039e-01-5.222553631450e-02j
4.899189918992e+09	8.183261906784e-01-7.222915924145e-02j
4.899309930993e+09	8.158639517483e-01-9.216190380782e-02j
4.899429942994e+09	8.129057063113e-01-1.120203231599e-01j
4.899549954995e+09	8.094683283122e-01-1.317854052892e-01j
4.899669966997e+09	8.055485781998e-01-1.514735262313e-01j
4.899789978998e+09	8.011374833674e-01-1.710263749001e-01j
4.899909990999e+09	7.962552271472e-01-1.904602311859e-01j
4.900030003000e+09	7.909223608453e-01-2.097825708372e-01j
4.900150015002e+09	7.850988522044e-01-2.289445339091e-01j
4.900270027003e+09	7.788196865734e-01-2.479420395111e-01j
4.900390039004e+09	7.720568716350e-01-2.667895470860e-01j
4.900510051005e+09	7.648539849768e-01-2.854415587916e-01j
4.900630063006e+09	7.571989908001e-01-3.039218351603e-01j
4.900750075008e+09	7.491000037409e-01-3.221982648840e-01j
4.900870087009e+09	7.405436905339e-01-3.402392009927e-01j
4.900990099010e+09	7.315585321285e-01-3.580672382749e-01j
4.901110111011e+09	7.221502977366e-01-3.756740194987e-01j
4.901230123012e+09	7.123102345146e-01-3.930276160693e-01j
4.901350135014e+09	7.020468194788e-01-4.101338374934e-01j
4.901470147015e+09	6.913668003594e-01-4.269605892205e-01j
4.901590159016e+09	6.802983691189e-01-4.435142625720e-01j
4.901710171017e+09	6.688291921527e-01-4.597971709664e-01j
4.901830183018e+09	6.569460409492e-01-4.757784745263e-01j
4.901950195020e+09	6.447036527886e-01-4.914604104347e-01j
4.902070207021e+09	6.320757010459e-01-5.068203778701e-01j
4.902190219022e+09	6.190748312002e-01-5.218659489649e-01j
4.902310231023e+09	6.057246443778e-01-5.365818947932e-01j
4.902430243024e+09	5.920188346907e-01-5.509552335811e-01j
4.902550255026e+09	5.779746071077e-01-5.649677589303e-01j
4.902670267027e+09	5.635865792939e-01-5.786465954274e-01j
4.902790279028e+09	5.488825204937e-01-5.919448104993e-01j
4.902910291029e+09	5.338527140832e-01-6.048728668945e-01j
4.903030303030e+09	5.185164473705e-01-6.174329100201e-01j
4.903150315032e+09	5.028850234793e-01-6.295921217808e-01j
4.903270327033e+09	4.869741382515e-01-6.413672556586e-01j
4.903390339034e+09	4.707822823082e-01-6.527253663957e-01j
4.903510351035e+09	4.543167875409e-01-6.636992025487e-01j
4.903630363036e+09	4.376055146167e-01-6.742374614980e-01j
4.903750375038e+09	4.206533402019e-01-6.843678326134e-01j
4.903870387039e+09	4.034409059288e-01-6.940624595989e-01j
4.903990399040e+09	3.860183941026e-01-7.033470453529e-01j
4.904110411041e+09	3.683762436558e-01-7.121725447225e-01j
4.904230423042e+09	3.505412503035e-01-7.205702464139e-01j
4.904350435044e+09	3.324987818745e-01-7.285178654974e-01j
4.904470447045e+09	3.142837897594e-01-7.360209028602e-01j
4.904590459046e+09	2.959037409531e-01-7.430677587366e-01j
4.904710471047e+09	2.773510714932e-01-7.496456153490e-01j
4.904830483048e+09	2.586631032572e-01-7.557602991208e-01j
4.904950495050e+09	2.398288007537e-01-7.614170878153e-01j
4.905070507051e+09	2.208812069800e-01-7.665890893518e-01j
4.905190519052e+09	2.018215959664e-01-7.713103151865e-01j
4.905310531053e+09	1.826504213686e-01-7.755501381297e-01j
4.905430543054e+09	1.634060292789e-01-7.793153593085e-01j
4.905550555056e+09	1.440667568563e-01-7.825958384355e-01j
4.905670567057e+09	1.246615192358e-01-7.854017857072e-01j
4.905790579058e+09	1.052124528734e-01-7.877342504180e-01j
4.905910591059e+09	8.571922579962e-02-7.895750458863e-01j
4.906030603060e+09	6.620302252242e-02-7.909408502261e-01j
4.906150615062e+09	4.667136105527e-02-7.918103832899e-01j
4.906270627063e+09	2.711676295751e-02-7.922013348419e-01j
4.906390639064e+09	7.590265735350e-03-7.921122796635e-01j
4.906510651065e+09	-1.193368098014e-02-7.915518909146e-01j
4.906630663066e+09	-3.142272309722e-02-7.904948807099e-01j
4.906750675068e+09	-5.085912994546e-02-7.889610751986e-01j
4.906870687069e+09	-7.026203277479e-02-7.869449394297e-01j
4.906990699070e+09	-8.958729901758e-02-7.844566864652e-01j
4.907110711071e+09	-1.088316571996e-01-7.814979082340e-01j
4.907230723072e+09	-1.279875257857e-01-7.780648393645e-01j
4.907350735074e+09	-1.470458645605e-01-7.741523897456e-01j
4.907470747075e+09	-1.659869335428e-01-7.697612380192e-01j
4.907590759076e+09	-1.848184037587e-01-7.649367582819e-01j
4.907710771077e+09	-2.034907438465e-01-7.596292064414e-01j
4.907830783078e+09	-2.220274778716e-01-7.538672973786e-01j
4.907950795080e+09	-2.404056957146e-01-7.476642244228e-01j
4.908070807081e+09	-2.586142395439e-01-7.410141087833e-01j
4.908190819082e+09	-2.766365563763e-01-7.338974291020e-01j
4.908310831083e+09	-2.944738080579e-01-7.263592170205e-01j
4.908430843084e+09	-3.121097524283e-01-7.183673551815e-01j
4.908550855086e+09	-3.295271214453e-01-7.099556963788e-01j
4.908670867087e+09	-3.467397553570e-01-7.011284873893e-01j
4.908790879088e+09	-3.636982837753e-01-6.918866671634e-01j
4.908910891089e+09	-3.804192553444e-01-6.822276122413e-01j
4.909030903090e+09	-3.968830916347e-01-6.721566314394e-01j
4.909150915092e+09	-4.130914589278e-01-6.616863321379e-01j
4.909270927093e+09	-4.290165901346e-01-6.508308065535e-01j
4.909390939094e+09	-4.446564383594e-01-6.395964272058e-01j
4.909510951095e+09	-4.600190274393e-01-6.279782143384e-01j
4.909630963096e+09	-4.750726027089e-01-6.159864833769e-01j
4.909750975098e+09	-4.898229851176e-01-6.036249364679e-01j
4.909870987099e+09	-5.042335044983e-01-5.909215936345e-01j
4.909990999100e+09	-5.183384729768e-01-5.778707194859e-01j
4.910111011101e+09	-5.320933680975e-01-5.644885247284e-01j
4.910231023102e+09	-5.455007454783e-01-5.507729892318e-01j
4.910351035104e+09	-5.585701500995e-01-5.367355875600e-01j
4.910471047105e+09	-5.712835488159e-01-5.223862726308e-01j
4.910591059106e+09	-5.836082175009e-01-5.077251302507e-01j
4.910711071107e+09	-5.955841588715e-01-4.928003501264e-01j
4.910831083108e+09	-6.071607229705e-01-4.775706775117e-01j
4.910951095110e+09	-6.183556131169e-01-4.620786767571e-01j
4.911071107111e+09	-6.291572084162e-01-4.463171368599e-01j
4.911191119112e+09	-6.395563268652e-01-4.302847212171e-01j
4.911311131113e+09	-6.495471210645e-01-4.140457451034e-01j
4.911431143114e+09	-6.591249551837e-01-3.975401455224e-01j
4.911551155116e+09	-6.682803291735e-01-3.808347373062e-01j
4.911671167117e+09	-6.770273255749e-01-3.639090907750e-01j
4.911791179118e+09	-6.853327712379e-01-3.467872641135e-01j
4.911911191119e+09	-6.932056934174e-01-3.294715732275e-01j
4.912031203120e+09	-7.006487774894e-01-3.119777523928e-01j
4.912151215122e+09	-7.076510343064e-01-2.943072253172e-01j
4.912271227123e+09	-7.142120991473e-01-2.765040102781e-01j
4.912391239124e+09	-7.203172940805e-01-2.585309366327e-01j
4.912511251125e+09	-7.259846095343e-01-2.404278613129e-01j
4.912631263126e+09	-7.311725855094e-01-2.222165412599e-01j
4.912751275128e+09	-7.359238340642e-01-2.038753245785e-01j
4.912871287129e+09	-7.401995801147e-01-1.854375502012e-01j
4.912991299130e+09	-7.440401459369e-01-1.669173321289e-01j
4.913111311131e+09	-7.473859452587e-01-1.483108585620e-01j
4.913231323132e+09	-7.502834696424e-01-1.296424386105e-01j
4.913351335134e+09	-7.527169862437e-01-1.109175858250e-01j
4.913471347135e+09	-7.546638593792e-01-9.215809504100e-02j
4.913591359136e+09	-7.561615102866e-01-7.336602565999e-02j
4.913711371137e+09	-7.571979330544e-01-5.455987118787e-02j
4.913831383138e+09	-7.577427575180e-01-3.574126695876e-02j
4.913951395140e+09	-7.578408722601e-01-1.692313952037e-02j
4.914071407141e+09	-7.574585708467e-01+1.878164520999e-03j
4.914191419142e+09	-7.566198251556e-01+2.064592866919e-02j
4.914311431143e+09	-7.553037383058e-01+3.938685308825e-02j
4.914431443144e+09	-7.535213402492e-01+5.805656443201e-02j
4.914551455146e+09	-7.512951499080e-01+7.667982320579e-02j
4.914671467147e+09	-7.485805842641e-01+9.521359690564e-02j
4.914791479148e+09	-7.454366072892e-01+1.136837168561e-01j
4.914911491149e+09	-7.418269601235e-01+1.320534861936e-01j
4.915031503150e+09	-7.377645340089e-01+1.503050394366e-01j
4.915151515152e+09	-7.332520824548e-01+1.684371942306e-01j
4.915271527153e+09	-7.282785652262e-01+1.864589343459e-01j
4.915391539154e+09	-7.228918979888e-01+2.043054525524e-01j
4.915511551155e+09	-7.170364862281e-01+2.220196191083e-01j
4.915631563156e+09	-7.107674763772e-01+2.395641197321e-01j
4.915751575158e+09	-7.040678681167e-01+2.569450725856e-01j
4.915871587159e+09	-6.969247581527e-01+2.741393221635e-01j
4.915991599160e+09	-6.893804104353e-01+2.911456884884e-01j
4.916111611161e+09	-6.814146419062e-01+3.079282359812e-01j
4.916231623162e+09	-6.730292612043e-01+3.245046324729e-01j
4.916351635164e+09	-6.642536219276e-01+3.408607530066e-01j
4.916471647165e+09	-6.550712020661e-01+3.569797113604e-01j
4.916591659166e+09	-6.454996619337e-01+3.728431041085e-01j
4.916711671167e+09	-6.355468374786e-01+3.884697382733e-01j
4.916831683168e+09	-6.252153093533e-01+4.038184014291e-01j
4.916951695170e+09	-6.145153306127e-01+4.189119015252e-01j
4.917071707171e+09	-6.034420166253e-01+4.337002012509e-01j
4.917191719172e+09	-5.920195891077e-01+4.482058705479e-01j
4.917311731173e+09	-5.802408429265e-01+4.624241437518e-01j
4.917431743174e+09	-5.681328944625e-01+4.763250420108e-01j
4.917551755176e+09	-5.556693527512e-01+4.899035544008e-01j
4.917671767177e+09	-5.429052501747e-01+5.031812698254e-01j
4.917791779178e+09	-5.298134576521e-01+5.160944283125e-01j
4.917911791179e+09	-5.164044247015e-01+5.286957497112e-01j
4.918031803180e+09	-5.027004722201e-01+5.409522567854e-01j
4.918151815182e+09	-4.887185717750e-01+5.528312566647e-01j
4.918271827183e+09	-4.744423092488e-01+5.643690593401e-01j
4.918391839184e+09	-4.599017837479e-01+5.755131136188e-01j
4.918511851185e+09	-4.450928491713e-01+5.863162278455e-01j
4.918631863186e+09	-4.300271405937e-01+5.967185183600e-01j
4.918751875188e+09	-4.147244471669e-01+6.067403340597e-01j
4.918871887189e+09	-3.991972221174e-01+6.163862293332e-01j
4.918991899190e+09	-3.834319693530e-01+6.256127539084e-01j
4.919111911191e+09	-3.674690930080e-01+6.344450189855e-01j
4.919231923192e+09	-3.512801228870e-01+6.428762037736e-01j
4.919351935194e+09	-3.349152408373e-01+6.508825302481e-01j
4.919471947195e+09	-3.183622646600e-01+6.584806399091e-01j
4.919591959196e+09	-3.016411178709e-01+6.656543390587e-01j
4.919711971197e+09	-2.847545429479e-01+6.724037393274e-01j
4.919831983198e+09	-2.677217731505e-01+6.787330192493e-01j
4.919951995200e+09	-2.505388001350e-01+6.846187103024e-01j
4.920072007201e+09	-2.332495250292e-01+6.900866283971e-01j
4.920192019202e+09	-2.158234634364e-01+6.951079800503e-01j
4.920312031203e+09	-1.983016695715e-01+6.996815822958e-01j
4.920432043204e+09	-1.806938909907e-01+7.038260268474e-01j
4.920552055206e+09	-1.629731558844e-01+7.075245111966e-01j
4.920672067207e+09	-1.452087495668e-01+7.107774205114e-01j
4.920792079208e+09	-1.273647365802e-01+7.135859702249e-01j
4.920912091209e+09	-1.094681157340e-01+7.159410120839e-01j
4.921032103210e+09	-9.154866916441e-02+7.178564149834e-01j
4.921152115212e+09	-7.358282869966e-02+7.193116582128e-01j
4.921272127213e+09	-5.561591357387e-02+7.203287527366e-01j
4.921392139214e+09	-3.763512304721e-02+7.208904571946e-01j
4.921512151215e+09	-1.965456451289e-02+7.210051829075e-01j
4.921632163216e+09	-1.710992109234e-03+7.206708085156e-01j
4.921752175218e+09	1.622877615201e-02+7.198861600650e-01j
4.921872187219e+09	3.411194427812e-02+7.186572339702e-01j
4.921992199220e+09	5.195315717725e-02+7.169874843096e-01j
4.922112211221e+09	6.972910694828e-02+7.148656987329e-01j
4.922232223222e+09	8.743710418033e-02+7.123161576704e-01j
4.922352235224e+09	1.050622150139e-01+7.093290416951e-01j
4.922472247225e+09	1.225835818560e-01+7.058846730354e-01j
4.922592259226e+09	1.400007687659e-01+7.020189090671e-01j
4.922712271227e+09	1.573136752315e-01+6.977310042741e-01j
4.922832283228e+09	1.744926090774e-01+6.930100043252e-01j
4.922952295230e+09	1.915319193824e-01+6.878705247822e-01j
4.923072307231e+09	2.084221749359e-01+6.823058945247e-01j
4.923192319232e+09	2.251654062281e-01+6.763309174248e-01j
4.923312331233e+09	2.417346907144e-01+6.699517752485e-01j
4.923432343234e+09	2.581189124287e-01+6.631413701512e-01j
4.923552355236e+09	2.743220439963e-01+6.559484575295e-01j
4.923672367237e+09	2.903375693713e-01+6.483526679102e-01j
4.923792379238e+09	3.061313990962e-01+6.403801398864e-01j
4.923912391239e+09	3.217042125018e-01+6.320095473694e-01j
4.924032403240e+09	3.370774009082e-01+6.232716308957e-01j
4.924152415242e+09	3.521893329099e-01+6.141307051197e-01j
4.924272427243e+09	3.670528263326e-01+6.046636123313e-01j
4.924392439244e+09	3.816739454891e-01+5.948095827931e-01j
4.924512451245e+09	3.960366047493e-01+5.846106230564e-01j
4.924632463246e+09	4.101165940027e-01+5.740661723805e-01j
4.924752475248e+09	4.239268236380e-01+5.631803499436e-01j
4.924872487249e+09	4.374548750030e-01+5.519704843885e-01j
4.924992499250e+09	4.506712395560e-01+5.404358650466e-01j
4.925112511251e+09	4.635878178552e-01+5.285722099475e-01j
4.925232523252e+09	4.762040862675e-01+5.164131693503e-01j
4.925352535254e+09	4.884957441527e-01+5.039365072510e-01j
4.925472547255e+09	5.004658943609e-01+4.911810725341e-01j
4.925592559256e+09	5.121000085897e-01+4.781356022671e-01j
4.925712571257e+09	5.233977812455e-01+4.648170554926e-01j
4.925832583258e+09	5.343478152586e-01+4.512560959440e-01j
4.925952595260e+09	5.449459124898e-01+4.374042862525e-01j
4.926072607261e+09	5.551900741111e-01+4.233107962016e-01j
4.926192619262e+09	5.650675829242e-01+4.089770359468e-01j
4.926312631263e+09	5.745689264569e-01+3.944275734662e-01j
4.926432643264e+09	5.837039232545e-01+3.796439976883e-01j
4.926552655266e+09	5.924713204936e-01+3.646672490284e-01j
4.926672667267e+09	6.008413550332e-01+3.494794970782e-01j
4.926792679268e+09	6.088163154355e-01+3.340994696146e-01j
4.926912691269e+09	6.164113539934e-01+3.185284564089e-01j
4.927032703270e+09	6.235876268897e-01+3.028033603405e-01j
4.927152715272e+09	6.303710505251e-01+2.869146955555e-01j
4.927272727273e+09	6.367605844151e-01+2.708702705170e-01j
4.927392739274e+09	6.427370444133e-01+2.546917839795e-01j
4.927512751275e+09	6.483105589392e-01+2.383875133496e-01j
4.927632763276e+09	6.534579257455e-01+2.219508287428e-01j
4.927752775278e+09	6.581940529911e-01+2.054047111679e-01j
4.927872787279e+09	6.625125815309e-01+1.887616195466e-01j
4.927992799280e+09	6.664145492985e-01+1.720318183678e-01j
4.928112811281e+09	6.698855682665e-01+1.552494129180e-01j
4.928232823282e+09	6.729349514797e-01+1.383679064925e-01j
4.928352835284e+09	6.755647449366e-01+1.214423693396e-01j
4.928472847285e+09	6.777682766585e-01+1.044841687412e-01j
4.928592859286e+09	6.795523650970e-01+8.747334302775e-02j
4.928712871287e+09	6.809035653428e-01+7.043874855318e-02j
4.928832883288e+09	6.818260523213e-01+5.339852597760e-02j
4.928952895290e+09	6.823251417451e-01+3.636121091791e-02j
4.929072907291e+09	6.823872986683e-01+1.932021993673e-02j
4.929192919292e+09	6.820289040516e-01+2.312340488929e-03j
4.929312931293e+09	6.812601760332e-01-1.466973968992e-02j
4.929432943294e+09	6.800658759954e-01-3.162686500825e-02j
4.929552955296e+09	6.784385186879e-01-4.851617579063e-02j
4.929672967297e+09	6.763974954050e-01-6.534506301963e-02j
4.929792979298e+09	6.739314322353e-01-8.211193849548e-02j
4.929912991299e+09	6.710652359451e-01-9.878737490787e-02j
4.930033003300e+09	6.677762269834e-01-1.153838642438e-01j
4.930153015302e+09	6.640801127168e-01-1.318596022455e-01j
4.930273027303e+09	6.599735425626e-01-1.482392225088e-01j
4.930393039304e+09	6.554741327777e-01-1.644823544972e-01j
4.930513051305e+09	6.505681800679e-01-1.806054846105e-01j
4.930633063306e+09	6.452548800359e-01-1.965782060124e-01j
4.930753075308e+09	6.395683977631e-01-2.124051049460e-01j
4.930873087309e+09	6.334711883650e-01-2.280664825125e-01j
4.930993099310e+09	6.270159827271e-01-2.435506718139e-01j
4.931113111311e+09	6.201729189399e-01-2.588575805025e-01j
4.931233123312e+09	6.129551444754e-01-2.739813927231e-01j
4.931353135314e+09	6.053696888122e-01-2.888972617450e-01j
4.931473147315e+09	5.974246099199e-01-3.036059910684e-01j
4.931593159316e+09	5.891294335988e-01-3.180980558935e-01j
4.931713171317e+09	5.804703235665e-01-3.323696684478e-01j
4.931833183318e+09	5.714701282648e-01-3.464100686417e-01j
4.931953195320e+09	5.621274036961e-01-3.602001757242e-01j
4.932073207321e+09	5.524487549317e-01-3.737433465819e-01j
4.932193219322e+09	5.424631307640e-01-3.870248861766e-01j
4.932313231323e+09	5.321517876220e-01-4.000372188418e-01j
4.932433243324e+09	5.215324200190e-01-4.127905010730e-01j
4.932553255326e+09	5.105839811977e-01-4.252455065759e-01j
4.932673267327e+09	4.993626074562e-01-4.374179465262e-01j
4.932793279328e+09	4.878516608453e-01-4.492957649406e-01j
4.932913291329e+09	4.760441908823e-01-4.608733726402e-01j
4.933033303330e+09	4.639767761354e-01-4.721471815227e-01j
4.933153315332e+09	4.516366540913e-01-4.830910232168e-01j
4.933273327333e+09	4.390350836944e-01-4.937181513410e-01j
4.933393339334e+09	4.261988077207e-01-5.040287803273e-01j
4.933513351335e+09	4.131203749985e-01-5.140015264174e-01j
4.933633363336e+09	3.997994682660e-01-5.236274530972e-01j
4.933753375338e+09	3.862587426039e-01-5.329117771871e-01j
4.933873387339e+09	3.725083593480e-01-5.418430913659e-01j
4.933993399340e+09	3.585482809115e-01-5.504280248650e-01j
4.934113411341e+09	3.443961417931e-01-5.586423967372e-01j
4.934233423342e+09	3.300573192841e-01-5.665054992863e-01j
4.934353435344e+09	3.155373675774e-01-5.739994040398e-01j
4.934473447345e+09	3.008579326269e-01-5.811155267181e-01j
4.934593459346e+09	2.860138848655e-01-5.878494464127e-01j
4.934713471347e+09	2.710171310646e-01-5.942216052712e-01j
4.934833483348e+09	2.558933256419e-01-6.001987663116e-01j
4.934953495350e+09	2.406369961533e-01-6.058031221754e-01j
4.935073507351e+09	2.252429281221e-01-6.110121664320e-01j
4.935193519352e+09	2.097656432007e-01-6.158291508625e-01j
4.935313531353e+09	1.941827464609e-01-6.202569217734e-01j
4.935433543354e+09	1.785013975468e-01-6.242953779937e-01j
4.935553555356e+09	1.627354446228e-01-6.279176101677e-01j
4.935673567357e+09	1.469088092218e-01-6.311692032206e-01j
4.935793579358e+09	1.310294659737e-01-6.340071294463e-01j
4.935913591359e+09	1.150868398316e-01-6.364469825014e-01j
4.936033603360e+09	9.910755811365e-02-6.384837840560e-01j
4.936153615362e+09	8.309061176695e-02-6.401305487264e-01j
4.936273627363e+09	6.708177492015e-02-6.413714231378e-01j
4.936393639364e+09	5.104771797249e-02-6.422041163626e-01j
4.936513651365e+09	3.500450098909e-02-6.426298416140e-01j
4.936633663366e+09	1.898179124358e-02-6.426819430467e-01j
4.936753675368e+09	2.985358366970e-03-6.423184765707e-01j
4.936873687369e+09	-1.299391926957e-02-6.415519077617e-01j
4.936993699370e+09	-2.893271075907e-02-6.403961782129e-01j
4.937113711371e+09	-4.481194996113e-02-6.388471442550e-01j
4.937233723372e+09	-6.063183954678e-02-6.368956056880e-01j
4.937353735374e+09	-7.638531838499e-02-6.345598323184e-01j
4.937473747375e+09	-9.205174816731e-02-6.318364575258e-01j
4.937593759376e+09	-1.076489044670e-01-6.287301093884e-01j
4.937713771377e+09	-1.231339341249e-01-6.252347750008e-01j
4.937833783378e+09	-1.385038266859e-01-6.213503525550e-01j
